t_10Hz,t_video (secs),Temperature_0,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,dT/dt,CHF Proximity,frame_index_round,frame_index_floor,frame_index_ceil,frame_delta_round
72.7,359.90487322424207,139.173714682119,157.391210721854,149.76555131788,170.830830543046,98.7390703841059,98.8627661324503,0.43987531788098977,0.2782431663436896,10797,10797,10798,15.0
72.8,360.39992807049276,139.291523,157.611653,149.923327,171.07006,98.743589,98.864556,0.4313090631220007,0.27905590422440896,10812,10811,10812,15.0
72.9,360.89498291674346,139.291523,157.611653,149.923327,171.07006,98.7337168936877,98.8581059601328,0.48897999999999797,0.27905590422440896,10827,10826,10827,15.0
73.0,361.39003776299415,139.291523,157.611653,149.923327,171.07006,98.730613,98.856078,0.48897999999999797,0.27905590422440896,10842,10841,10842,15.0
73.1,361.88509260924485,139.363897790697,157.749034674418,150.061040767441,171.240225767441,98.7201143953488,98.8654728039867,0.4410487840530095,0.2795552045715031,10857,10856,10857,15.0
73.2,362.38014745549555,139.40267,157.822632,150.134816,171.331386,98.714653,98.87036,0.5377790000000005,0.2798226869003108,10871,10871,10872,14.0
73.3,362.87520230174624,139.40267,157.822632,150.134816,171.331386,98.7231395116279,98.8628792558139,0.5377790000000005,0.2798226869003108,10886,10886,10887,15.0
73.4,363.37025714799694,139.434903621262,157.862400299003,150.169392564784,171.372329209302,98.729858,98.856957,0.5055453787379918,0.28004506071485635,10901,10901,10902,15.0
73.5,363.86531199424763,139.61359,158.082855,150.361067,171.599297,98.721095461794,98.8597279501661,0.4306740730890226,0.28127778512159635,10916,10915,10916,15.0
73.6,364.36036684049833,139.61359,158.082855,150.361067,171.599297,98.710606,98.863045,0.4854800000000239,0.28127778512159635,10931,10930,10931,15.0
73.7,364.855421686749,139.61359,158.082855,150.361067,171.599297,98.7174770298013,98.8623856390728,0.4854800000000239,0.28127778512159635,10946,10945,10946,15.0
73.8,365.3504765329997,139.722832063122,158.256781129568,150.506094342192,171.807268787375,98.729999,98.861184,0.39238454485098373,0.282031425988932,10961,10960,10961,15.0
73.9,365.8455313792504,139.780503,158.3486,150.582657,171.917061,98.7295038637873,98.8582126777408,0.4219739999999774,0.2824292871574843,10975,10975,10976,14.0
74.0,366.3405862255011,139.780503,158.3486,150.582657,171.917061,98.728038,98.849416,0.4219739999999774,0.2824292871574843,10990,10990,10991,15.0
74.1,366.8356410717518,139.80494657475,158.389026511627,150.61244941196,171.960459019933,98.7284836644518,98.8501670963455,0.3975304252499825,0.2825979188763378,11005,11005,11006,15.0
